nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
Dijual Rumah Mewah Lokasi Strategis Di Jalan Tulodong Jakarta Selatan,5,7,520,45000000000,63025210,"Senopati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-lokasi-strategis-di-jalan-tulodong-jakarta-selatan-oleh-dasep-18875547
Dijual rumah mewah Pondok indah kondisi baru jadi 3 lantai lokasi asri tenang hadap timur  !,5,5,1200,45000000000,93167702,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-pondok-indah-kondisi-baru-jadi-3-lantai-lokasi-asri-tenang-hadap-timur-oleh-ahmad-sauqi-18891146
Dijual Rumah mewah Area kemang jakarta selatan Siap huni !,6,10,1050,45000000000,40909091,"Kemang, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-area-kemang-jakarta-selatan-siap-huni-oleh-ahmad-sauqi-18846437
"Dijual rumah mewah Classic Di Pondok Indah , jakarta selatan !",6,6,600,45000000000,68807339,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-classic-di-pondok-indah-jakarta-selatan-oleh-ahmad-sauqi-18891004
Cipete jakarta selatan,7,7,1100,45000000000,45918367,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cipete-jakarta-selatan-oleh-aji-18881299
PONDOK INDAH BRAND NEW LUXURY HOUSE IN PREMIUM AREA BEST DEAL ! ! HOEK,7,8,1400,45000000000,92783505,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-brand-new-luxury-house-in-premium-area-best-deal-hoek-oleh-nizar-luthfi-17744952
House At Permata Hijau for Sell,4,4,900,44999999999,58441558,"Jalan Mas Murni, Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-house-at-permata-hijau-for-sell-oleh-daniel-harjadinata-17667034
"6 Bedrooms Rumah Pondok Indah, Jakarta Selatan, DKI Jakarta",5,6,1000,43500000000,60754190,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-6-bedrooms-rumah-pondok-indah-jakarta-selatan-dki-jakarta-oleh-sarman-17985365
Pondok Indah,6,6,1000,43500000000,60754190,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-winda-lubis-18817280
KEBAYORAN BARU HARGA MIRING HITUNG TANAH AREA PREMIUM LAMANDAU POSISI HOEK,5,6,600,42500000000,46961326,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-harga-miring-hitung-tanah-area-premium-lamandau-posisi-hoek-oleh-nizar-luthfi-17957342
Rumah Siap Huni Jarang ada Lokasi Cipete,4,4,500,40000000000,47619048,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-jarang-ada-lokasi-cipete-oleh-hesti-18877058
Pondok Indah,4,5,587,40000000000,65789474,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-winda-lubis-18821747
PONDOK INDAH BANTING HARGA RUMAH MEWAH HARGA CANTIK MILIK PENGUSAHA TERKENAL,5,6,900,40000000000,55632823,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-banting-harga-rumah-mewah-harga-cantik-milik-pengusaha-terkenal-oleh-nizar-luthfi-17791668
Dijual Rumah Mewah Design Skandinavia siap huni di Pondok indah Jakarta Selatan,5,8,900,40000000000,63694268,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-design-skandinavia-siap-huni-di-pondok-indah-jakarta-selatan-oleh-melda-dahmin-18939265
